operation_id,customer_id,client_segment,region,branch_id,operation_date,product_type,operation_type,channel,amount,operation_status,tariff_rule_id,expected_fee,actual_fee,fee_diff,abs_fee_diff,relative_diff,potential_loss,overcharge_amount,control_status,is_deviation,priority_amount
OP_0008851,CUST_0000196,mass,almaty,BR_030,2025-02-06,domestic_transfers,external_transfer,web,1236115.11,posted,TR_00082,3838.81,0.0,-3838.81,3838.81,-1.0,3838.81,0.0,undercharged_potential_loss,1,3838.81
OP_0000377,CUST_0000314,mass,almaty,BR_006,2024-02-20,merchant_acquiring,merchant_settlement,web,353489.02,posted,TR_00145,3499.54,489.99,-3009.55,3009.55,-0.8599844550998131,3009.55,0.0,undercharged_potential_loss,1,3009.55
OP_0000500,CUST_0000615,mass,other,BR_034,2024-07-19,cash_withdrawals,atm_cash_withdrawal,branch,438146.86,posted,TR_00105,3000.0,36.51,-2963.49,2963.49,-0.9878299999999999,2963.49,0.0,undercharged_potential_loss,1,2963.49
OP_0005699,CUST_0000254,mass,shymkent,BR_021,2025-11-27,merchant_acquiring,merchant_settlement,pos,320062.81,posted,TR_00138,3154.54,375.11,-2779.43,2779.43,-0.8810888433812853,2779.43,0.0,undercharged_potential_loss,1,2779.43
OP_0004479,CUST_0000846,sme,karaganda,BR_046,2025-02-17,merchant_acquiring,merchant_settlement,web,519379.04,posted,TR_00150,5182.99,2985.9,-2197.0899999999997,2197.0899999999997,-0.42390396277052433,2197.0899999999997,0.0,undercharged_potential_loss,1,2197.0899999999997
OP_0004426,CUST_0000632,sme,other,BR_018,2025-04-05,cash_withdrawals,atm_cash_withdrawal,branch,302550.56,posted,TR_00110,2195.79,106.88,-2088.91,2088.91,-0.9513250356363768,2088.91,0.0,undercharged_potential_loss,1,2088.91
OP_0006762,CUST_0000970,mass,shymkent,BR_049,2025-03-25,account_service,monthly_package_fee,branch,18547.0,posted,TR_00130,2016.0,0.0,-2016.0,2016.0,-1.0,2016.0,0.0,undercharged_potential_loss,1,2016.0
OP_0009128,CUST_0000392,mass,other,BR_049,2025-02-06,account_service,monthly_package_fee,branch,18382.02,posted,TR_00130,2016.0,75.69,-1940.31,1940.31,-0.9624553571428571,1940.31,0.0,undercharged_potential_loss,1,1940.31
OP_0003779,CUST_0000239,mass,almaty,BR_046,2024-03-02,account_service,monthly_package_fee,branch,5553.91,posted,TR_00129,1800.0,0.0,-1800.0,1800.0,-1.0,1800.0,0.0,undercharged_potential_loss,1,1800.0
OP_0001142,CUST_0000601,mass,other,BR_060,2024-03-03,account_service,monthly_package_fee,branch,45506.52,posted,TR_00129,1800.0,5.67,-1794.33,1794.33,-0.99685,1794.33,0.0,undercharged_potential_loss,1,1794.33
OP_0000415,CUST_0000751,mass,karaganda,BR_003,2024-02-14,cash_withdrawals,atm_cash_withdrawal,branch,497686.95,posted,TR_00105,3000.0,1312.4,-1687.6,1687.6,-0.5625333333333333,1687.6,0.0,undercharged_potential_loss,1,1687.6
OP_0006139,CUST_0000287,mass,astana,BR_043,2025-05-31,account_service,monthly_package_fee,branch,23326.05,posted,TR_00130,2016.0,446.1,-1569.9,1569.9,-0.7787202380952382,1569.9,0.0,undercharged_potential_loss,1,1569.9
OP_0000120,CUST_0000436,mass,other,BR_056,2024-12-20,account_service,monthly_package_fee,branch,40999.71,posted,TR_00129,1800.0,274.08,-1525.92,1525.92,-0.8477333333333333,1525.92,0.0,undercharged_potential_loss,1,1525.92
OP_0004948,CUST_0000918,mass,aktobe,BR_017,2025-02-24,account_service,monthly_package_fee,branch,45928.89,posted,TR_00130,2016.0,500.82,-1515.18,1515.18,-0.751577380952381,1515.18,0.0,undercharged_potential_loss,1,1515.18
OP_0009528,CUST_0000260,affluent,other,BR_002,2025-09-03,account_service,monthly_package_fee,branch,17181.39,posted,TR_00132,1512.0,0.0,-1512.0,1512.0,-1.0,1512.0,0.0,undercharged_potential_loss,1,1512.0
OP_0008001,CUST_0000040,affluent,almaty,BR_023,2025-02-12,cash_withdrawals,atm_cash_withdrawal,atm,340723.45,posted,TR_00100,1717.25,275.05,-1442.2,1442.2,-0.8398311253457563,1442.2,0.0,undercharged_potential_loss,1,1442.2
OP_0009784,CUST_0000929,affluent,almaty,BR_011,2025-05-28,card_payments,p2p_transfer,pos,515638.27,posted,TR_00028,1386.04,0.0,-1386.04,1386.04,-1.0,1386.04,0.0,undercharged_potential_loss,1,1386.04
OP_0003344,CUST_0000008,sme,astana,BR_040,2025-05-14,account_service,monthly_package_fee,web,33404.82,posted,TR_00126,1360.8,0.0,-1360.8,1360.8,-1.0,1360.8,0.0,undercharged_potential_loss,1,1360.8
OP_0005573,CUST_0000731,mass,other,BR_056,2024-11-26,account_service,monthly_package_fee,web,2833.59,posted,TR_00121,1350.0,0.0,-1350.0,1350.0,-1.0,1350.0,0.0,undercharged_potential_loss,1,1350.0
OP_0000888,CUST_0000230,mass,almaty,BR_001,2025-02-13,account_service,monthly_package_fee,web,35456.0,posted,TR_00122,1512.0,180.31,-1331.69,1331.69,-0.8807473544973545,1331.69,0.0,undercharged_potential_loss,1,1331.69
OP_0002650,CUST_0000047,mass,almaty,BR_028,2025-01-24,account_service,monthly_package_fee,mobile,20608.43,posted,TR_00114,1428.0,110.55,-1317.45,1317.45,-0.9225840336134454,1317.45,0.0,undercharged_potential_loss,1,1317.45
OP_0006096,CUST_0000992,sme,karaganda,BR_032,2024-10-31,account_service,monthly_package_fee,branch,161166.64,posted,TR_00133,1620.0,313.66,-1306.34,1306.34,-0.8063827160493827,1306.34,0.0,undercharged_potential_loss,1,1306.34
OP_0002190,CUST_0000775,mass,karaganda,BR_017,2024-01-17,account_service,monthly_package_fee,web,14328.24,posted,TR_00121,1350.0,70.18,-1279.82,1279.82,-0.9480148148148148,1279.82,0.0,undercharged_potential_loss,1,1279.82
OP_0006169,CUST_0000304,mass,almaty,BR_003,2025-04-06,cash_withdrawals,atm_cash_withdrawal,branch,388645.63,posted,TR_00106,3000.0,1728.7,-1271.3,1271.3,-0.4237666666666666,1271.3,0.0,undercharged_potential_loss,1,1271.3
OP_0003541,CUST_0000501,affluent,karaganda,BR_042,2025-08-07,account_service,monthly_package_fee,branch,76863.54,posted,TR_00132,1512.0,277.38,-1234.62,1234.62,-0.816547619047619,1234.62,0.0,undercharged_potential_loss,1,1234.62
OP_0000783,CUST_0000324,mass,aktobe,BR_016,2025-07-09,account_service,monthly_package_fee,mobile,137357.58,posted,TR_00114,1428.0,216.97,-1211.03,1211.03,-0.8480602240896359,1211.03,0.0,undercharged_potential_loss,1,1211.03
OP_0000938,CUST_0000256,affluent,other,BR_020,2025-10-15,account_service,monthly_package_fee,branch,102012.02,posted,TR_00132,1512.0,308.22,-1203.78,1203.78,-0.7961507936507937,1203.78,0.0,undercharged_potential_loss,1,1203.78
